2015,2016,2017,2018,2019
Dyro,Dash Berlin,DJ Khaled,Dubloadz b2b Monxx,DJ ISAAC
Dzeko & Torres,Datsik,Dj Tennis,Ekali,DJ THE PROPHET
Eats Everything,dela Moontribe,Dombresky,Elephante,DNMO
Ed Rush & Optical,Delta Heavy,Don Diablo,Eptic,DOM DOLLA
EDX,Dem Ham Boyz,Dubloadz,Eric Prydz,DON DIABLO
Enei,Deorro,Duke Dumont,Excision,DR PHUNK
Eptic,Derrick May,Ed Rush & Optical,Ferry Corsten,DREZO
Eric Prydz,Des McMahon,Ephwurd,Firebeatz vs DubVision,DUCKY (LIVE)
Excision,Digital Punk,Excision,Fisher,DUSTYCLOUD
Fallen,Dimension,Fallen,Flux Pavilion b2b Doctor P,EATS EVERYTHING B2B PATRICK TOPPING
Fatboy Slim,Dimitri Vegas & Like Mike,Ferry Corsten,Fury b2b Fallen,EKALI
Ferry Corsten,Discovery Project,Firebeatz,G Jones b2b Eprom,ELEPHANTE
Firebeatz,DJ Dan,Flosstradamus,Gabriel & Dresden,ELI BROWN B2B MASON MAYNARD
Flosstradamus,DJ Isaac,Flux Pavilion,Gammer,ENRICO SANGIULIANO
Flume,DJ Snake,Fred V & Grafix,Ganesh,ERIC PRYDZ
Flux Pavilion,DJ Trance,Freedom Fighters,Genix b2b Sunny Lax,EXCISION
Foreign Concept,Doc Martin,Friction,Gentlemen’s Club,FALLEN B2B FURY
Freedom Fighters,Doctor P,Frontliner,Getter,FERRY CORSTEN PRESENTS SYSTEM F
Friction,Don Diablo,Fury,GG Magree,FISHER
FuntCase,Dreamstate Presents,G Jones,Gorgon City,FRICTION B2B METRIK
Galantis,Dr. Fresch,Galantis,GRAVEDGR,FUNTCASE
Get Real (Green Velvet & Claude VonStroke),Duke Dumont,Gammer,Green Velvet Presents La La Land,GANESH
Getter,Dusky,Gareth Emery,Griffin Stoller,GANJA WHITE NIGHT
Gladiator,El Dusty,Getter,Grum,GARETH EMERY
Graham Funke,Ephwurd,Ghastly,Gryffin (DJ Set),GENTECH (MARK SHERRY & SCOT PROJECT)
Grandtheft,Eptic b2b Must Die!,Gramatik,GTA,GENTLEMENS CLUB
Habstrakt,Eric Prydz,Green Velvet,Gud Vibrations,GEO
Hardwell,Etnik,GRiZ,Habstrakt,GET REAL; GREEN VELVET & CLAUDE VONSTROKE
Hook N Sling,Excision,Gryffin,Hardwell,GHASTLY
Hotel Garuda,Fallen,GTA,Headhunterz,GIUSEPPE OTTAVIANI LIVE 2.0
Ilan Bluestone,Ferry Corsten presents Gouryella,Gunz For Hire,HEKLER,GORGON CITY (LIVE)
