2015,2016,2017,2018,2019
Richmond,Yotto,Andy C,Jeremy Olander,Handmade Moments
Pete Tong,Will Clarke,Ardalan,Jody Litvack,Hannah Muse
Phutureprimitave ,Major Lazer,Asadi,Justin Jay's Fantastic Voyage,Hannah Wants
Preservation Hall ,Chris Lorenzo,Banks,Karl Denson's Tiny Universe,Henry Ammar
Jazz Band,Coleman Hell,Bot,Kasbo,Hippie Sabotage
Russ Liquid,Cubicolor,Breaking Biscuits,Kawehi,Hollywood Honey
Sango,Delhi 2 Dublin (DJ set),Carmada,Kayzo,Homage
Skylar Spence,Dixon's Violin,Chet Porter,Keith Mackenzie,Homemade Spaceship
Slow Hands ,DJ Jazzy Jeff,Choir!Choir!Choir!,Kerri Chandler,Honey Dijon
Slow Magic,DJ Mustard,Corbu,Keys N Krates,Honeycomb
Snails,DJ Soul Sister,Crizzly,Kidswaste,Horse Meat Disco
SNBRN,Doomtree,Dimond Saints,Kill Frenzy,Horseshoes & Hand Grenades
Son of Kick,Dumpstaphunk,Donny McCaslin,K+Lab,ILO ILO
Soul Clap,Dusky,Eden,Knox Fortune,Ivy Lab
Superhuman ,Earphunk,Eptic,Krane,JAENGA
Happiness,Egyptian Lover,Eric Krasno Band,Kronica,JASON HANN
TAUK,EOTO,Everyone Orchestra,Kyle Watson,Jantsen
TEEMID,Eprom,Fury + MC Dino,Lane 8,Jayda G
Teengirl Fantasy,Evaoff,Her,Lawrence,Jellybean Benitez
The Accidentals,Jackal,Jack Beats,Lee Reynolds[disambiguation needed],Joe Hertler & The Rainbow Seekers
The Ragbirds,Jillionaire,Jacob Banks,Locos Por Juana,Joel Cummins
The Werks,Josh Wink,Jimmy Edgar,Louis The Child,John Craigie
Trevor Hall,Just Kiddin,Kaiydo,Loudpvck,KNOWER
U9Lift,Justin Martin,Kamasi Washington,Lophile,Keith MacKenzie
Vaski,Kamasi Washington,Liquid Stranger,Luzcid,Kid Quill
Wave Racer,Karl Denson's Tiny Universe,Maya Jane Coles,Lyfted,King Henry
Wiwek,Keys N Krates,My Morning Jacket,Madame Ghandi,Krushendo
Wolf + Lamb,Kry Wolf,Nero (Live),Maddy O'Neal,Kruza Kid
Yojimbo,Lance Herbstrong,ODESZA,Magic City Hippies,Kygo
,Petey Clicks,Oliver Heldens,Malaa,LICK
,Preservation Hall Jazz Band,Ott,Manic Focus,LITZ
,Raury,Pendulum DJ Set,Manila Killa,Lee Fields & The Expressions
,Rufus Du Sol,Pluto,Mansion,Lettuce
,Savory,Redlight,Marbs,Lightship Beatbox
,Scott Grooves,Shift K3Y,Marian Hill,Little Simz
,Skratch Bastid,Sinden,Marshmello,Loadstar
,Slander,Sonny Fodera,Marvel Years,Lolo Zouai
,Slumberjack,Space Jesus,Masi,Louis The Child
,Son Little,Thunderthief,Matisyahu,Lucid Vision
,Soul Clap,Tortuga,Mat.joe,Luttrell
,Stephen,Trampa,Matrix & Futurebound,Lynx
,Stick Figure,Troyboi,MAX[disambiguation needed],M.O.B
,SunSquabi,Tycho,Maximono,MEMBA
,Taiki Nulight,Viceroy,Medasin,MIDIcinal
,,Walker & Royce,Melvv,Manatee Commune
,,Wingtip,Mersiv,Mansionair
,,Xenia Rubinos,Michigan Rattlers,Marc Brownstein
,,Zomboy,Mija,Mason Maynard
,,Afsheen,Mike Love,Micah J
,,Alison Wonderland,Mikey Lion,Mihali - Solo
,,Alix Perez,Mikey Pauker,Mile High Sound Movement Takeover
,,Beans on Toast,Misterwives,Minnesota
,,Black Tiger Sex Machine,MK,Motion Potion
,,BlackGummy,Moody Good,Mungion
,,Break Science,Motez,NGHTMRE & SLANDER PRESENT: GUD VIBRATIONS
,,Brohug,Motion Potion,Niles Shepard
,,Cashmere Cat,Mount Kimbie,OMNOM
,,Castmusic,Mr. Carmack,Octo Octa
,,Conspirator,Mt. Joy,Odesza
,,Croatia Squad,Muzzy Bear,Ookay (Live)
,,Darnell Williams,Natalie Cressman,Opiuo
,,Delta Heavy,Netsky (DJ Set),Orchard Lounge
,,DJ Snake,Nicole Moudaber,PLS&TY
,,Dr. Fresch,Noisia,Pigeons Playing Ping Pong
,,EDX,Noname,Pnuma (Live)
,,EPROM,Omnom,Project Aspect
,,Eryn Allen Kane,Ossian,QUINN XCII
,,Flint Eastwood,Party Favor,Random Rab
,,Flume,Party Pupils,Red Giant Project
,,FuntCase,Pat Lok,Riot Ten
,,Gentelmen Callers of LA,Pendulum People,Ripe
,,GTA,Penguin Prison,Robotaki
,,Hi-Lo,Phantoms,Ryan Mahrer
,,Jon Wayne and The Pain,Pho,SHAED
,,Kalya Scintilla & Eve Olution,Poolside,SNBRN
,,Kyle Hollingsworth Band,Porkchop,SORNE
,,L D R U,Probcause,STS9
,,Lido,Psyntimental,SUPER DUPER
,,Merkaba,Quix,Saba
,,Mick Jenkins,Rayana Jay,Sacha Robotti
,,Nahko and Medicine for the People,Rezz,Said the Sky Live
,,Nick Monaco,Rinzen,Sam White
,,No Regular Play,Rybo,Seven Lions
,,Nora En Pure,San Holo,Snails
,,Oddisee & Good Compny,Sam Gellaitry,Sophistafunk
,,Ott & The All-Seeing I,Sasha Marie,Southern Avenue
,,Pillowtalk,Savior Adore,Spafford
,,Preservation Hall Jazz Band,Sepiatonic,Spaga Trio
,,River Tiber,Seth Troxler,Steve Poltz solo
,,RL Grime,Shallou,Subtronics
,,Roman Flügel,Shook Twins,SuperTallPaul
,,Shiba San,Sinkane,Sweet Crude
,,Soul Clap,Slynk,T-Pain
,,Sub Focus,Sodown,TOKiMONSTA
,,Taylor Bennett,Space Jesus,Tauk
,,Team EZY,Spag Heddy,The Floozies
,,The Golden Pony,Squnto,The Funk Hunters
,,The Movement,Star Kitchen Ft Marc Brownstein,The Knocks
,,The Skins,Stickybuds,The Librarian
,,The Upbeats,Subfer,The Midnight
,,Theti,Sunsquabi,The Polish Ambassador
,,Thievery Corporation,Superduperkyle,The String Cheese Incident
,,Tor,Super Future,Thriftworks
,,Touch Sensitive,Super Tall Paul,Thumpasaurus
,,Valentino Khan,"Supernatural Beings Ft. Joel Cummings, Chris Meyer, Marcus Rezak, Hash Vyas",Tierra Whack
,,Watermät,Test Pilot,TruFeelz
,,Wax Motif,Tennis Jacket Ft Marc Brownstein and Jeremy Salken,Twiddle
,,Wolf + Lamb,The Comet is Coming,Unlimited Gravity
,,Xyl0,The Dip,Vourteque
,,Yahtzel,The Glitch Mob,WHITE OWL
,,Zeke Beats,The Main Squeeze,WOOLI
,,,The Nth Power,Wavedash
,,,The Russ Liquid Test,Whethan
,,,The Werks,Whipped Cream
,,,The Whooligan,Wildlight
,,,Thundercat,Woke Zan
,,,Too Many Zooz,Wuki
,,,Tortuga[disambiguation needed],XONIC
,,,Totally Enourmous Extinct Dinosaurs (DJ Set),YAKO
,,,Toubab Krewe,Yotto
,,,Tsuruda,Yung Bae
,,,Turkuaz,Zeds Dead
,,,Two Feet,Ziggy Alberts
,,,UM...,
,,,Vourteque,
,,,Waker,
,,,Washed Out,
,,,William Black,
,,,Wylie,
,,,Xavier Rudd,
,,,Xiuhtezcatl,
,,,XLP,
,,,Xonic,
,,,Ye.,
,,,Zeshan B,
,,,Zimbu,
